fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-003388-6-0073,1,No match,FALSE,N/A,inf,323.0361042,0.963282004,323.0775767,1.068159316,FOVNotMatch,2002/10/11 5:15:36.00,SAT_18361,1.638502346,29.90239268,SAT_17637,2.791997134,39.921063,SAT_2401U,0.46314467,45.15593321
frame-g-003388-6-0074,1,No match,FALSE,N/A,inf,323.2886491,0.844060425,323.3490492,0.996941136,FOVNotMatch,2002/10/11 5:16:12.00,SAT_18361,1.638502346,29.88518043,SAT_17637,2.791997134,39.90385075,SAT_2401U,0.46314467,45.13872096
frame-g-003388-2-0253,1,Success,TRUE,SAT_4478U,0.032830073,350.0274701,-0.69272539,350.1464741,-0.667461351,,2002/10/11 7:03:04.00,SAT_4478U,2.598942305,0.032830073,SAT_24786,5.527245407,11.94809057,SAT_22117,4.615570161,11.98920564
frame-g-003384-6-0748,1,Success,TRUE,SAT_15490,2.860458153,56.76986543,1.052211916,56.82736714,1.198033065,,2002/10/10 11:10:58.00,SAT_15490,4.019241856,2.860458153,SAT_05011,1.926121157,3.190439702,SAT_5011U,2.613680282,4.098602445
frame-g-003384-4-0750,1,Success,TRUE,SAT_15490,2.891266303,57.03808382,0.213221562,57.12633173,0.436700681,,2002/10/10 11:12:10.00,SAT_15490,4.019241856,2.891266303,SAT_05011,1.926121157,3.221247852,SAT_5011U,2.613680282,4.129410595
frame-g-003384-3-0751,1,Success,TRUE,SAT_15490,2.783698005,57.17302079,-0.206841614,57.26128506,0.017916554,,2002/10/10 11:12:45.00,SAT_15490,4.019241856,2.783698005,SAT_05011,1.926121157,3.113679553,SAT_5011U,2.613680282,4.021842297
frame-g-003384-2-0752,1,Success,TRUE,SAT_15490,2.84666505,57.30816828,-0.625813285,57.39624671,-0.402259458,,2002/10/10 11:13:21.00,SAT_15490,4.019241856,2.84666505,SAT_05011,1.926121157,3.176646598,SAT_5011U,2.613680282,4.084809342
frame-g-003388-4-0601,1,No match,FALSE,N/A,inf,42.08537175,0.168128837,42.18202584,0.228815892,FOVNotMatch,2002/10/11 10:30:51.00,SAT_10516,3.301539169,17.86353141,SAT_5709U,3.094993951,18.45392953,SAT_7544U,3.626562026,19.2269715
frame-g-003388-5-0663,1,Success,TRUE,SAT_10516,1.779870399,51.36790973,0.497040277,51.52470188,0.53842444,,2002/10/11 11:07:52.00,SAT_10516,4.461976361,1.779870399,SAT_5709U,4.759009808,2.649464539,SAT_7544U,4.472668594,3.112167666
frame-g-003388-4-0665,1,Success,TRUE,SAT_13215,1.069447973,51.78945665,0.005359715,51.83073432,0.152720439,,2002/10/11 11:09:04.00,SAT_13215,4.671060893,1.069447973,SAT_17178,0.103039119,34.55472613,SAT_06829,3.258842641,35.77183757
